D,N,k,P_unbounded
1,500,1,1.0
1,500,2,0.5025
2,500,2,1.0
1,500,3,0.2565
2,500,3,0.7585
3,500,3,1.0
1,500,4,0.1155
2,500,4,0.498
3,500,4,0.8695
4,500,4,1.0
1,500,5,0.05
2,500,5,0.3085
3,500,5,0.6985
4,500,5,0.9375
5,500,5,1.0
1,500,6,0.025
2,500,6,0.1855
3,500,6,0.511
4,500,6,0.8095
5,500,6,0.9715
6,500,6,1.0
1,500,7,0.0115
2,500,7,0.1065
3,500,7,0.3575
4,500,7,0.6475
5,500,7,0.884
6,500,7,0.9865
7,500,7,1.0
1,500,8,0.0045
2,500,8,0.0565
3,500,8,0.2365
4,500,8,0.4895
5,500,8,0.7605
6,500,8,0.94
7,500,8,0.991
8,500,8,1.0
1,500,9,0.002
2,500,9,0.0365
3,500,9,0.1575
4,500,9,0.357
5,500,9,0.626
6,500,9,0.859
7,500,9,0.973
8,500,9,0.9945
9,500,9,1.0
1,500,10,0.001
2,500,10,0.0185
3,500,10,0.099
4,500,10,0.2455
5,500,10,0.4845
6,500,10,0.756
7,500,10,0.917
8,500,10,0.977
9,500,10,0.999
10,500,10,1.0
1,500,11,0.0005
2,500,11,0.01
3,500,11,0.0615
4,500,11,0.165
5,500,11,0.365
6,500,11,0.635
7,500,11,0.8275
8,500,11,0.9425
9,500,11,0.9865
10,500,11,0.999
11,500,11,1.0
1,500,12,0.0005
2,500,12,0.0025
3,500,12,0.037
4,500,12,0.107
5,500,12,0.2615
6,500,12,0.5025
7,500,12,0.7135
8,500,12,0.888
9,500,12,0.968
10,500,12,0.992
11,500,12,0.999
12,500,12,1.0
1,500,13,0.0005
2,500,13,0.001
3,500,13,0.0195
4,500,13,0.0635
5,500,13,0.1885
6,500,13,0.394
7,500,13,0.6045
8,500,13,0.812
9,500,13,0.93
10,500,13,0.9795
11,500,13,0.9955
12,500,13,1.0
1,500,14,0.0005
2,500,14,0.001
3,500,14,0.011
4,500,14,0.041
5,500,14,0.1285
6,500,14,0.298
7,500,14,0.492
8,500,14,0.724
9,500,14,0.8715
10,500,14,0.9575
11,500,14,0.987
12,500,14,0.9995
13,500,14,1.0
1,500,15,0.0
2,500,15,0.0005
3,500,15,0.0065
4,500,15,0.024
5,500,15,0.0795
6,500,15,0.216
7,500,15,0.3945
8,500,15,0.6035
9,500,15,0.785
10,500,15,0.909
11,500,15,0.9725
12,500,15,0.9945
13,500,15,0.999
14,500,15,1.0
1,500,16,0.0
2,500,16,0.0
3,500,16,0.0035
4,500,16,0.014
5,500,16,0.0555
6,500,16,0.1565
7,500,16,0.2925
8,500,16,0.4965
9,500,16,0.703
10,500,16,0.8445
11,500,16,0.9445
12,500,16,0.9865
13,500,16,0.9955
14,500,16,0.9995
15,500,16,1.0
1,500,17,0.0
2,500,17,0.0
3,500,17,0.0025
4,500,17,0.0075
5,500,17,0.0315
6,500,17,0.1115
7,500,17,0.2205
8,500,17,0.3935
9,500,17,0.5985
10,500,17,0.756
11,500,17,0.8895
12,500,17,0.963
13,500,17,0.988
14,500,17,0.9985
15,500,17,0.9985
16,500,17,1.0
1,500,18,0.0
2,500,18,0.0
3,500,18,0.0015
4,500,18,0.005
5,500,18,0.0185
6,500,18,0.0815
7,500,18,0.1605
8,500,18,0.304
9,500,18,0.5075
10,500,18,0.672
11,500,18,0.829
12,500,18,0.9255
13,500,18,0.9715
14,500,18,0.994
15,500,18,0.998
16,500,18,1.0
1,500,19,0.0
2,500,19,0.0
3,500,19,0.001
4,500,19,0.0025
5,500,19,0.011
6,500,19,0.047
7,500,19,0.1145
8,500,19,0.2255
9,500,19,0.4075
10,500,19,0.581
11,500,19,0.7545
12,500,19,0.883
13,500,19,0.9435
14,500,19,0.986
15,500,19,0.9955
16,500,19,0.999
17,500,19,1.0
1,500,20,0.0
2,500,20,0.0
3,500,20,0.0005
4,500,20,0.002
5,500,20,0.007
6,500,20,0.0335
7,500,20,0.0845
8,500,20,0.171
9,500,20,0.3285
10,500,20,0.4965
11,500,20,0.6645
12,500,20,0.8255
13,500,20,0.908
14,500,20,0.976
15,500,20,0.991
16,500,20,0.998
17,500,20,0.9995
18,500,20,0.9995
19,500,20,1.0
